year,month,avg_temp,location
2015,1,2.7516129032258063,Germany
2015,2,1.1785714285714286,Germany
2015,3,5.612903225806452,Germany
2015,4,8.653333333333334,Germany
2015,5,13.312903225806451,Germany
2015,6,16.763333333333332,Germany
2015,7,20.070967741935487,Germany
2015,8,22.532258064516128,Germany
2015,9,14.91,Germany
2015,10,8.951612903225806,Germany
2015,11,7.443333333333333,Germany
2015,12,6.983870967741935,Germany
2016,1,-0.3548387096774194,Germany
2016,2,3.6551724137931036,Germany
2016,3,4.358064516129032,Germany
2016,4,8.7,Germany
2016,5,15.648387096774194,Germany
2016,6,19.063333333333333,Germany
2016,7,20.29032258064516,Germany
2016,8,19.287096774193547,Germany
2016,9,18.953333333333333,Germany
2016,10,9.212903225806452,Germany
2016,11,3.9066666666666667,Germany
2016,12,2.6258064516129034,Germany
2017,1,-1.5419354838709676,Germany
2017,2,1.6892857142857143,Germany
2017,3,6.699999999999999,Germany
2017,4,7.760000000000001,Germany
2017,5,14.396774193548387,Germany
2017,6,18.08,Germany
2017,7,18.24516129032258,Germany
2017,8,18.770967741935483,Germany
2017,9,14.05,Germany
2017,10,11.796774193548387,Germany
2017,11,5.846666666666667,Germany
2017,12,3.193548387096774,Germany
2018,1,3.0548387096774197,Germany
2018,2,-1.5285714285714285,Germany
2018,3,1.3225806451612903,Germany
2018,4,12.686666666666667,Germany
2018,5,17.641935483870967,Germany
2018,6,19.23,Germany
2018,7,21.20967741935484,Germany
2018,8,21.961290322580645,Germany
2018,9,16.743333333333332,Germany
2018,10,11.374193548387098,Germany
2018,11,5.4766666666666675,Germany
2018,12,4.141935483870968,Germany
2019,1,1.132258064516129,Germany
2019,2,4.007142857142857,Germany
2019,3,6.874193548387097,Germany
2019,4,10.626666666666667,Germany
2019,5,12.661290322580646,Germany
2019,6,23.023333333333333,Germany
2019,7,20.345161290322583,Germany
2019,8,21.129032258064516,Germany
2019,9,15.383333333333333,Germany
2019,10,11.412903225806453,Germany
2019,11,6.316666666666666,Germany
2019,12,4.1,Germany
2020,1,4.080645161290323,Germany
2020,2,5.789655172413793,Germany
2020,3,5.109677419354839,Germany
2020,4,10.256666666666666,Germany
2020,5,12.506451612903225,Germany
2020,6,19.07,Germany
2020,7,18.625806451612902,Germany
2020,8,22.293548387096774,Germany
2020,9,15.823333333333332,Germany
2020,10,11.332258064516129,Germany
2020,11,7.05,Germany
2020,12,3.206451612903226,Germany
2021,1,0.7387096774193548,Germany
2021,2,-0.01428571428571433,Germany
2021,3,4.670967741935484,Germany
2021,4,6.506666666666666,Germany
2021,5,11.993548387096775,Germany
2021,6,21.046666666666667,Germany
2021,7,20.36774193548387,Germany
2021,8,17.570967741935487,Germany
2021,9,15.976666666666667,Germany
2021,10,10.506451612903225,Germany
2021,11,5.906666666666666,Germany
2021,12,1.5774193548387097,Germany
2022,1,3.1870967741935483,Germany
2022,2,4.675,Germany
2022,3,4.438709677419355,Germany
2022,4,8.139999999999999,Germany
2022,5,15.503225806451614,Germany
2022,6,19.946666666666665,Germany
2022,7,20.24516129032258,Germany
2022,8,21.76451612903226,Germany
2022,9,13.72,Germany
2022,10,12.651612903225805,Germany
2022,11,5.656666666666666,Germany
2022,12,1.4645161290322581,Germany
2023,1,4.051612903225807,Germany
2023,2,2.857142857142857,Germany
2023,3,5.435483870967742,Germany
2023,4,7.709999999999999,Germany
2023,5,13.841935483870968,Germany
2023,6,19.38,Germany
2023,7,20.125806451612902,Germany
2023,8,19.6,Germany
2023,9,18.883333333333333,Germany
2023,10,12.093548387096773,Germany
2023,11,5.5,Germany
2023,12,3.6225806451612903,Germany
2024,1,1.2161290322580645,Germany
