file_name,file_year,file_month,year,month,country,arrivals_country
tourism_2016_01.xls,2016,1,2016,1,ARNAVUTLUK,4258
tourism_2016_01.xls,2016,1,2015,1,BULGARİSTAN,99057
tourism_2016_01.xls,2016,1,2016,1,BULGARİSTAN,98800
tourism_2016_01.xls,2016,1,2015,1,ROMANYA,15916
tourism_2016_01.xls,2016,1,2016,1,ROMANYA,14750
tourism_2016_01.xls,2016,1,2015,1,AZERBAYCAN,38744
tourism_2016_01.xls,2016,1,2016,1,AZERBAYCAN,29932
tourism_2016_01.xls,2016,1,2015,1,BELARUS (B. RUSYA),2421
tourism_2016_01.xls,2016,1,2016,1,BELARUS (B. RUSYA),2110
tourism_2016_01.xls,2016,1,2015,1,ERMENİSTAN,1854
tourism_2016_01.xls,2016,1,2016,1,ERMENİSTAN,1797
tourism_2016_01.xls,2016,1,2015,1,GÜRCİSTAN,108047
tourism_2016_01.xls,2016,1,2016,1,GÜRCİSTAN,113582
tourism_2016_01.xls,2016,1,2015,1,KAZAKİSTAN,10663
tourism_2016_01.xls,2016,1,2016,1,KAZAKİSTAN,6728
tourism_2016_01.xls,2016,1,2015,1,KIRGIZİSTAN,5839
tourism_2016_01.xls,2016,1,2016,1,KIRGIZİSTAN,6024
tourism_2016_01.xls,2016,1,2015,1,MOLDOVA CUM.,6713
tourism_2016_01.xls,2016,1,2016,1,MOLDOVA CUM.,6663
tourism_2016_01.xls,2016,1,2015,1,ÖZBEKİSTAN,8549
tourism_2016_01.xls,2016,1,2016,1,ÖZBEKİSTAN,6061
tourism_2016_01.xls,2016,1,2015,1,RUSYA FED.,51058
tourism_2016_01.xls,2016,1,2016,1,RUSYA FED.,22106
tourism_2016_01.xls,2016,1,2015,1,TACİKİSTAN,2395
tourism_2016_01.xls,2016,1,2016,1,TACİKİSTAN,1249
tourism_2016_01.xls,2016,1,2015,1,TÜRKMENİSTAN,10638
tourism_2016_01.xls,2016,1,2016,1,TÜRKMENİSTAN,10950
tourism_2016_01.xls,2016,1,2015,1,UKRAYNA,25054
tourism_2016_01.xls,2016,1,2016,1,UKRAYNA,27633
tourism_2016_01.xls,2016,1,2015,1,BDT,271975
tourism_2016_01.xls,2016,1,2016,1,BDT,234835
tourism_2016_01.xls,2016,1,2015,1,CEZAYİR,6940
tourism_2016_01.xls,2016,1,2016,1,CEZAYİR,7937
tourism_2016_01.xls,2016,1,2015,1,FAS,7020
tourism_2016_01.xls,2016,1,2016,1,FAS,7572
tourism_2016_01.xls,2016,1,2015,1,LİBYA,21248
tourism_2016_01.xls,2016,1,2016,1,LİBYA,5688
tourism_2016_01.xls,2016,1,2015,1,SUDAN,519
tourism_2016_01.xls,2016,1,2016,1,SUDAN,572
tourism_2016_01.xls,2016,1,2015,1,MISIR,6631
tourism_2016_01.xls,2016,1,2016,1,MISIR,7670
tourism_2016_01.xls,2016,1,2015,1,TUNUS,6968
tourism_2016_01.xls,2016,1,2016,1,TUNUS,7606
tourism_2016_01.xls,2016,1,2015,1,DIĞ.AFRIKA ÜLKELERI,5590
tourism_2016_01.xls,2016,1,2016,1,DIĞ.AFRIKA ÜLKELERI,6472
tourism_2016_01.xls,2016,1,2015,1,B.A.EMİRLİĞİ,3271
tourism_2016_01.xls,2016,1,2016,1,B.A.EMİRLİĞİ,2461
