freq,statinfo,unit,currency,year,month,exchange_rate
M,AVG,NAC,ALL,2025,1,98.51
M,AVG,NAC,ALL,2025,2,99.03
M,AVG,NAC,ALL,2025,3,99.23
M,AVG,NAC,ALL,2025,4,98.71
M,AVG,NAC,ALL,2025,5,98.21
M,AVG,NAC,ALL,2025,6,98.07
M,AVG,NAC,ALL,2025,7,97.72
M,AVG,NAC,ALL,2025,8,97.29
M,AVG,NAC,ALL,2025,9,97.07
M,AVG,NAC,ALL,2025,10,96.74
M,AVG,NAC,ALL,2025,11,96.66
M,AVG,NAC,ALL,2025,12,96.54
M,AVG,NAC,AUD,2015,1,1.439
M,AVG,NAC,AUD,2015,2,1.4568
M,AVG,NAC,AUD,2015,3,1.4008
M,AVG,NAC,AUD,2015,4,1.3939
M,AVG,NAC,AUD,2015,5,1.4123
M,AVG,NAC,AUD,2015,6,1.453
M,AVG,NAC,AUD,2015,7,1.4844
M,AVG,NAC,AUD,2015,8,1.5269
M,AVG,NAC,AUD,2015,9,1.59
M,AVG,NAC,AUD,2015,10,1.5586
M,AVG,NAC,AUD,2015,11,1.5011
M,AVG,NAC,AUD,2015,12,1.5009
M,AVG,NAC,AUD,2016,1,1.551
M,AVG,NAC,AUD,2016,2,1.5556
M,AVG,NAC,AUD,2016,3,1.4823
M,AVG,NAC,AUD,2016,4,1.4802
M,AVG,NAC,AUD,2016,5,1.5461
M,AVG,NAC,AUD,2016,6,1.5173
M,AVG,NAC,AUD,2016,7,1.4694
M,AVG,NAC,AUD,2016,8,1.469
M,AVG,NAC,AUD,2016,9,1.4768
M,AVG,NAC,AUD,2016,10,1.447
M,AVG,NAC,AUD,2016,11,1.4331
M,AVG,NAC,AUD,2016,12,1.4356
M,AVG,NAC,AUD,2017,1,1.4252
M,AVG,NAC,AUD,2017,2,1.3886
M,AVG,NAC,AUD,2017,3,1.4018
M,AVG,NAC,AUD,2017,4,1.4241
M,AVG,NAC,AUD,2017,5,1.4878
M,AVG,NAC,AUD,2017,6,1.4861
M,AVG,NAC,AUD,2017,7,1.4772
M,AVG,NAC,AUD,2017,8,1.4919
M,AVG,NAC,AUD,2017,9,1.4946
M,AVG,NAC,AUD,2017,10,1.5099
M,AVG,NAC,AUD,2017,11,1.5395
M,AVG,NAC,AUD,2017,12,1.5486
M,AVG,NAC,AUD,2018,1,1.534
M,AVG,NAC,AUD,2018,2,1.5684
M,AVG,NAC,AUD,2018,3,1.5889
M,AVG,NAC,AUD,2018,4,1.5972
M,AVG,NAC,AUD,2018,5,1.5695
M,AVG,NAC,AUD,2018,6,1.5579
M,AVG,NAC,AUD,2018,7,1.5792
M,AVG,NAC,AUD,2018,8,1.5762
M,AVG,NAC,AUD,2018,9,1.6189
M,AVG,NAC,AUD,2018,10,1.6158
M,AVG,NAC,AUD,2018,11,1.568
M,AVG,NAC,AUD,2018,12,1.5849
M,AVG,NAC,AUD,2019,1,1.5975
M,AVG,NAC,AUD,2019,2,1.5895
M,AVG,NAC,AUD,2019,3,1.5959
M,AVG,NAC,AUD,2019,4,1.5802
M,AVG,NAC,AUD,2019,5,1.6116
M,AVG,NAC,AUD,2019,6,1.6264
M,AVG,NAC,AUD,2019,7,1.6061
M,AVG,NAC,AUD,2019,8,1.6431
M,AVG,NAC,AUD,2019,9,1.6162
M,AVG,NAC,AUD,2019,10,1.6271
M,AVG,NAC,AUD,2019,11,1.6181
M,AVG,NAC,AUD,2019,12,1.6154
M,AVG,NAC,AUD,2020,1,1.6189
