year,month,country_std,arrivals_country,source_temp,turkey_temp,temp_diff
2015,1,Bulgaria,99057,0.06129032258064509,6.406451612903226,-6.34516129032258
2015,1,France,24507,4.058064516129032,6.406451612903226,-2.3483870967741938
2015,1,Georgia,108047,2.329032258064516,6.406451612903226,-4.077419354838709
2015,1,Germany,115993,2.7516129032258063,6.406451612903226,-3.6548387096774193
2015,1,Iran,79716,3.393548387096774,6.406451612903226,-3.0129032258064514
2015,1,Netherlands,23903,4.316129032258065,6.406451612903226,-2.090322580645161
2015,1,Poland,7772,0.9419354838709677,6.406451612903226,-5.464516129032258
2015,1,Romania,15916,-0.9064516129032257,6.406451612903226,-7.312903225806451
2015,1,Russia,51058,-5.664516129032258,6.406451612903226,-12.070967741935483
2015,1,United Kingdom,30868,4.554838709677419,6.406451612903226,-1.8516129032258064
2015,2,Bulgaria,103108,0.7999999999999999,6.814285714285715,-6.014285714285715
2015,2,France,35272,3.5464285714285713,6.814285714285715,-3.2678571428571437
2015,2,Georgia,106413,3.9499999999999997,6.814285714285715,-2.864285714285715
2015,2,Germany,152911,1.1785714285714286,6.814285714285715,-5.635714285714286
2015,2,Iran,106916,4.432142857142857,6.814285714285715,-2.382142857142858
2015,2,Netherlands,32476,3.482142857142857,6.814285714285715,-3.3321428571428577
2015,2,Poland,7992,0.8857142857142858,6.814285714285715,-5.928571428571429
2015,2,Romania,18002,1.875,6.814285714285715,-4.939285714285715
2015,2,Russia,41444,-4.182142857142857,6.814285714285715,-10.996428571428572
2015,2,United Kingdom,44651,3.7642857142857147,6.814285714285715,-3.0500000000000003
2015,3,Bulgaria,113337,3.7806451612903227,8.016129032258064,-4.235483870967741
2015,3,France,33727,7.125806451612903,8.016129032258064,-0.8903225806451607
2015,3,Georgia,122423,6.564516129032258,8.016129032258064,-1.451612903225806
2015,3,Germany,279179,5.612903225806452,8.016129032258064,-2.403225806451612
2015,3,Iran,248884,7.84516129032258,8.016129032258064,-0.1709677419354838
2015,3,Netherlands,34144,6.012903225806451,8.016129032258064,-2.0032258064516126
2015,3,Poland,10438,4.783870967741936,8.016129032258064,-3.2322580645161283
2015,3,Romania,22100,6.280645161290322,8.016129032258064,-1.7354838709677418
2015,3,Russia,58338,-0.33225806451612905,8.016129032258064,-8.348387096774193
2015,3,United Kingdom,69251,6.377419354838709,8.016129032258064,-1.6387096774193548
2015,4,Bulgaria,156048,9.020000000000001,10.696666666666665,-1.676666666666664
2015,4,France,71749,11.023333333333333,10.696666666666665,0.326666666666668
2015,4,Georgia,135859,9.676666666666668,10.696666666666665,-1.0199999999999978
2015,4,Germany,381346,8.653333333333334,10.696666666666665,-2.0433333333333312
2015,4,Iran,92310,15.733333333333333,10.696666666666665,5.036666666666667
2015,4,Netherlands,104695,8.243333333333334,10.696666666666665,-2.4533333333333314
2015,4,Poland,19290,8.173333333333334,10.696666666666665,-2.5233333333333317
2015,4,Romania,30735,11.09,10.696666666666665,0.3933333333333344
2015,4,Russia,149879,4.9399999999999995,10.696666666666665,-5.756666666666666
2015,4,United Kingdom,136536,9.226666666666667,10.696666666666665,-1.4699999999999989
2015,5,Bulgaria,193939,16.716129032258067,17.529032258064515,-0.8129032258064477
2015,5,France,87234,13.516129032258064,17.529032258064515,-4.0129032258064505
2015,5,Georgia,192679,16.15483870967742,17.529032258064515,-1.374193548387094
2015,5,Germany,623685,13.312903225806451,17.529032258064515,-4.216129032258063
2015,5,Iran,128338,23.480645161290322,17.529032258064515,5.951612903225808
2015,5,Netherlands,179948,11.606451612903227,17.529032258064515,-5.922580645161288
2015,5,Poland,51337,13.19032258064516,17.529032258064515,-4.338709677419354
2015,5,Romania,34654,18.32903225806452,17.529032258064515,0.8000000000000043
2015,5,Russia,501196,13.600000000000001,17.529032258064515,-3.929032258064513
2015,5,United Kingdom,310840,11.774193548387096,17.529032258064515,-5.7548387096774185
2015,6,Bulgaria,162929,18.11,20.56,-2.4499999999999993
2015,6,France,75300,18.096666666666668,20.56,-2.463333333333331
2015,6,Georgia,159957,22.953333333333333,20.56,2.3933333333333344
2015,6,Germany,556649,16.763333333333332,20.56,-3.796666666666667
2015,6,Iran,153626,30.17,20.56,9.610000000000003
2015,6,Netherlands,107955,14.953333333333335,20.56,-5.606666666666664
2015,6,Poland,87909,17.686666666666667,20.56,-2.8733333333333313
2015,6,Romania,66361,21.346666666666668,20.56,0.7866666666666688
2015,6,Russia,652703,17.513333333333332,20.56,-3.046666666666667
2015,6,United Kingdom,358167,15.296666666666665,20.56,-5.263333333333334
2015,7,Bulgaria,172846,23.074193548387097,24.461290322580645,-1.387096774193548
2015,7,France,175031,21.325806451612905,24.461290322580645,-3.1354838709677395
2015,7,Georgia,201485,24.958064516129035,24.461290322580645,0.49677419354839003
2015,7,Germany,798295,20.070967741935487,24.461290322580645,-4.390322580645158
2015,7,Iran,210325,30.55806451612903,24.461290322580645,6.096774193548384
2015,7,Netherlands,277792,17.851612903225806,24.461290322580645,-6.609677419354838
2015,7,Poland,116425,20.1,24.461290322580645,-4.361290322580643
2015,7,Romania,60786,25.458064516129035,24.461290322580645,0.99677419354839
2015,7,Russia,686256,18.364516129032257,24.461290322580645,-6.096774193548388
2015,7,United Kingdom,421556,17.33225806451613,24.461290322580645,-7.129032258064516
2015,8,Bulgaria,179972,22.23225806451613,25.551612903225806,-3.3193548387096747
2015,8,France,140536,20.874193548387098,25.551612903225806,-4.677419354838708
2015,8,Georgia,203154,25.68064516129032,25.551612903225806,0.12903225806451601
2015,8,Germany,842024,22.532258064516128,25.551612903225806,-3.0193548387096776
2015,8,Iran,181886,29.41290322580645,25.551612903225806,3.8612903225806434
2015,8,Netherlands,172603,18.348387096774193,25.551612903225806,-7.203225806451613
2015,8,Poland,98281,22.79032258064516,25.551612903225806,-2.7612903225806456
2015,8,Romania,71095,24.687096774193545,25.551612903225806,-0.8645161290322605
2015,8,Russia,638469,17.60645161290323,25.551612903225806,-7.945161290322577
2015,8,United Kingdom,430760,16.919354838709676,25.551612903225806,-8.63225806451613
2015,9,Bulgaria,208771,18.913333333333334,22.94333333333333,-4.029999999999998
2015,9,France,64792,14.686666666666667,22.94333333333333,-8.256666666666664
2015,9,Georgia,209447,22.573333333333334,22.94333333333333,-0.36999999999999744
2015,9,Germany,664300,14.91,22.94333333333333,-8.033333333333331
2015,9,Iran,162130,23.7,22.94333333333333,0.7566666666666677
2015,9,Netherlands,114475,13.826666666666666,22.94333333333333,-9.116666666666665
2015,9,Poland,66166,15.610000000000001,22.94333333333333,-7.33333333333333
2015,9,Romania,52001,20.433333333333334,22.94333333333333,-2.509999999999998
2015,9,Russia,528960,13.826666666666666,22.94333333333333,-9.116666666666665
2015,9,United Kingdom,364013,13.34,22.94333333333333,-9.603333333333332
2015,10,Bulgaria,165164,10.812903225806451,16.429032258064517,-5.6161290322580655
2015,10,France,70667,11.438709677419356,16.429032258064517,-4.990322580645161
2015,10,Georgia,164886,13.558064516129033,16.429032258064517,-2.870967741935484
2015,10,Germany,730227,8.951612903225806,16.429032258064517,-7.477419354838711
2015,10,Iran,120920,18.383870967741935,16.429032258064517,1.9548387096774178
2015,10,Netherlands,117984,10.596774193548388,16.429032258064517,-5.832258064516129
2015,10,Poland,21140,7.474193548387096,16.429032258064517,-8.954838709677421
2015,10,Romania,27929,11.496774193548386,16.429032258064517,-4.93225806451613
2015,10,Russia,229125,3.925806451612903,16.429032258064517,-12.503225806451614
2015,10,United Kingdom,255803,11.470967741935485,16.429032258064517,-4.958064516129031
2015,11,Bulgaria,128303,7.5,13.606666666666666,-6.106666666666666
2015,11,France,33822,10.56,13.606666666666666,-3.046666666666665
2015,11,Georgia,156588,6.6466666666666665,13.606666666666666,-6.959999999999999
2015,11,Germany,258613,7.443333333333333,13.606666666666666,-6.163333333333332
2015,11,Iran,106439,6.8966666666666665,13.606666666666666,-6.709999999999999
2015,11,Netherlands,33527,9.99,13.606666666666666,-3.6166666666666654
2015,11,Poland,9028,5.506666666666666,13.606666666666666,-8.1
2015,11,Romania,23846,8.389999999999999,13.606666666666666,-5.216666666666667
2015,11,Russia,86090,-0.18333333333333332,13.606666666666666,-13.79
2015,11,United Kingdom,53141,9.96,13.606666666666666,-3.6466666666666647
2015,12,Bulgaria,138006,3.4709677419354836,8.061290322580644,-4.590322580645161
2015,12,France,34622,8.919354838709678,8.061290322580644,0.8580645161290334
2015,12,Georgia,150894,3.129032258064516,8.061290322580644,-4.9322580645161285
2015,12,Germany,177570,6.983870967741935,8.061290322580644,-1.0774193548387094
2015,12,Iran,108895,0.8225806451612904,8.061290322580644,-7.2387096774193544
2015,12,Netherlands,32985,9.509677419354839,8.061290322580644,1.4483870967741943
2015,12,Poland,5001,4.625806451612903,8.061290322580644,-3.435483870967741
2015,12,Romania,17672,3.609677419354839,8.061290322580644,-4.451612903225806
2015,12,Russia,25485,-0.43548387096774194,8.061290322580644,-8.496774193548386
2015,12,United Kingdom,36553,10.538709677419355,8.061290322580644,2.4774193548387107
2016,1,Bulgaria,98800,-0.8225806451612904,5.729032258064516,-6.551612903225806
2016,1,France,23130,5.158064516129032,5.729032258064516,-0.5709677419354833
2016,1,Georgia,113582,1.4580645161290322,5.729032258064516,-4.2709677419354835
2016,1,Germany,114208,-0.3548387096774194,5.729032258064516,-6.083870967741935
2016,1,Iran,92260,1.0483870967741935,5.729032258064516,-4.680645161290322
2016,1,Netherlands,24031,4.796774193548386,5.729032258064516,-0.9322580645161294
2016,1,Poland,5025,-3.2580645161290325,5.729032258064516,-8.987096774193548
2016,1,Romania,14750,-3.703225806451613,5.729032258064516,-9.432258064516128
2016,1,Russia,22106,-11.158064516129032,5.729032258064516,-16.887096774193548
2016,1,United Kingdom,31177,5.538709677419354,5.729032258064516,-0.1903225806451614
2016,2,Bulgaria,109532,6.441379310344828,9.86896551724138,-3.427586206896552
2016,2,France,32638,5.662068965517241,9.86896551724138,-4.206896551724139
2016,2,Georgia,152165,5.4206896551724135,9.86896551724138,-4.448275862068966
2016,2,Germany,138338,3.6551724137931036,9.86896551724138,-6.2137931034482765
2016,2,Iran,124962,4.386206896551724,9.86896551724138,-5.482758620689656
2016,2,Netherlands,32827,4.682758620689656,9.86896551724138,-5.186206896551724
2016,2,Poland,6192,3.1758620689655173,9.86896551724138,-6.6931034482758625
2016,2,Romania,18462,6.713793103448276,9.86896551724138,-3.155172413793104
2016,2,Russia,20074,-2.372413793103448,9.86896551724138,-12.241379310344827
2016,2,United Kingdom,37196,5.0344827586206895,9.86896551724138,-4.83448275862069
2016,3,Bulgaria,125992,6.529032258064516,9.961290322580645,-3.4322580645161285
2016,3,France,27654,6.296774193548386,9.961290322580645,-3.6645161290322585
2016,3,Georgia,166956,8.012903225806452,9.961290322580645,-1.9483870967741925
2016,3,Germany,231244,4.358064516129032,9.961290322580645,-5.603225806451613
2016,3,Iran,250611,9.680645161290323,9.961290322580645,-0.28064516129032135
2016,3,Netherlands,31238,5.212903225806452,9.961290322580645,-4.748387096774193
2016,3,Poland,6268,3.9387096774193546,9.961290322580645,-6.02258064516129
2016,3,Romania,20205,7.54516129032258,9.961290322580645,-2.4161290322580644
2016,3,Russia,23947,-2.096774193548387,9.961290322580645,-12.058064516129033
2016,3,United Kingdom,68537,5.638709677419355,9.961290322580645,-4.32258064516129
2016,4,Bulgaria,147880,13.756666666666666,14.723333333333333,-0.9666666666666668
2016,4,France,44576,9.276666666666667,14.723333333333333,-5.446666666666665
2016,4,Georgia,182249,12.976666666666667,14.723333333333333,-1.7466666666666661
2016,4,Germany,246226,8.7,14.723333333333333,-6.023333333333333
2016,4,Iran,93727,14.273333333333333,14.723333333333333,-0.4499999999999993
2016,4,Netherlands,103490,8.31,14.723333333333333,-6.413333333333332
2016,4,Poland,9412,9.293333333333333,14.723333333333333,-5.43
2016,4,Romania,24401,14.426666666666668,14.723333333333333,-0.2966666666666651
2016,4,Russia,31050,6.826666666666667,14.723333333333333,-7.896666666666666
2016,4,United Kingdom,103208,7.763333333333334,14.723333333333333,-6.959999999999999
2016,5,Bulgaria,164724,14.096774193548388,17.177419354838708,-3.0806451612903203
2016,5,France,44955,13.941935483870967,17.177419354838708,-3.235483870967741
2016,5,Georgia,229086,16.63225806451613,17.177419354838708,-0.5451612903225787
2016,5,Germany,427219,15.648387096774194,17.177419354838708,-1.5290322580645146
2016,5,Iran,132081,22.700000000000003,17.177419354838708,5.522580645161295
2016,5,Netherlands,99955,13.841935483870968,17.177419354838708,-3.3354838709677406
2016,5,Poland,23266,15.632258064516128,17.177419354838708,-1.5451612903225804
2016,5,Romania,29724,16.048387096774192,17.177419354838708,-1.129032258064516
2016,5,Russia,41004,14.061290322580644,17.177419354838708,-3.1161290322580637
2016,5,United Kingdom,219277,12.916129032258064,17.177419354838708,-4.261290322580644
2016,6,Bulgaria,136501,20.376666666666665,22.933333333333334,-2.5566666666666684
2016,6,France,45997,16.86,22.933333333333334,-6.073333333333334
2016,6,Georgia,194190,21.326666666666664,22.933333333333334,-1.6066666666666691
2016,6,Germany,345714,19.063333333333333,22.933333333333334,-3.870000000000001
2016,6,Iran,166313,27.19333333333333,22.933333333333334,4.259999999999998
2016,6,Netherlands,72925,16.18,22.933333333333334,-6.753333333333334
2016,6,Poland,35806,19.533333333333335,22.933333333333334,-3.3999999999999986
2016,6,Romania,55767,22.276666666666664,22.933333333333334,-0.6566666666666698
2016,6,Russia,45647,17.40666666666667,22.933333333333334,-5.526666666666664
2016,6,United Kingdom,233686,15.47,22.933333333333334,-7.463333333333333
2016,7,Bulgaria,167041,22.241935483870968,24.835483870967742,-2.5935483870967744
2016,7,France,128327,19.529032258064515,24.835483870967742,-5.306451612903228
2016,7,Georgia,210105,23.480645161290322,24.835483870967742,-1.35483870967742
2016,7,Germany,660532,20.29032258064516,24.835483870967742,-4.545161290322582
2016,7,Iran,133951,30.79032258064516,24.835483870967742,5.954838709677418
2016,7,Netherlands,201374,17.916129032258063,24.835483870967742,-6.91935483870968
2016,7,Poland,33638,19.683870967741935,24.835483870967742,-5.151612903225807
2016,7,Romania,49072,24.551612903225806,24.835483870967742,-0.28387096774193665
2016,7,Russia,47788,21.11935483870968,24.835483870967742,-3.7161290322580633
2016,7,United Kingdom,277857,17.903225806451612,24.835483870967742,-6.93225806451613
2016,8,Bulgaria,146502,21.003225806451614,24.98709677419355,-3.983870967741936
2016,8,France,80558,20.893548387096775,24.98709677419355,-4.093548387096774
2016,8,Georgia,218516,27.006451612903227,24.98709677419355,2.0193548387096776
2016,8,Germany,551380,19.287096774193547,24.98709677419355,-5.700000000000003
2016,8,Iran,124002,28.938709677419357,24.98709677419355,3.951612903225808
2016,8,Netherlands,138514,18.14516129032258,24.98709677419355,-6.841935483870969
2016,8,Poland,34012,18.73225806451613,24.98709677419355,-6.2548387096774185
2016,8,Romania,52036,23.661290322580644,24.98709677419355,-1.3258064516129053
2016,8,Russia,104549,19.325806451612905,24.98709677419355,-5.661290322580644
2016,8,United Kingdom,275552,18.203225806451613,24.98709677419355,-6.783870967741937
2016,9,Bulgaria,192006,17.34333333333333,21.363333333333333,-4.020000000000003
2016,9,France,35536,19.03666666666667,21.363333333333333,-2.3266666666666644
2016,9,Georgia,222694,18.513333333333332,21.363333333333333,-2.8500000000000014
2016,9,Germany,424447,18.953333333333333,21.363333333333333,-2.41
2016,9,Iran,186772,25.476666666666667,21.363333333333333,4.113333333333333
2016,9,Netherlands,75547,18.176666666666666,21.363333333333333,-3.1866666666666674
2016,9,Poland,26427,16.5,21.363333333333333,-4.863333333333333
2016,9,Romania,36423,19.28666666666667,21.363333333333333,-2.0766666666666644
2016,9,Russia,207987,11.433333333333334,21.363333333333333,-9.93
2016,9,United Kingdom,234710,17.263333333333332,21.363333333333333,-4.100000000000001
2016,10,Bulgaria,147002,10.341935483870968,15.816129032258065,-5.474193548387097
2016,10,France,40539,11.493548387096775,15.816129032258065,-4.32258064516129
2016,10,Georgia,178386,11.067741935483872,15.816129032258065,-4.748387096774193
2016,10,Germany,491059,9.212903225806452,15.816129032258065,-6.603225806451613
2016,10,Iran,136789,17.870967741935484,15.816129032258065,2.054838709677419
2016,10,Netherlands,78643,10.51290322580645,15.816129032258065,-5.303225806451614
2016,10,Poland,15586,7.809677419354839,15.816129032258065,-8.006451612903227
2016,10,Romania,21551,10.332258064516129,15.816129032258065,-5.483870967741936
2016,10,Russia,222719,4.351612903225806,15.816129032258065,-11.464516129032258
2016,10,United Kingdom,166099,11.245161290322581,15.816129032258065,-4.570967741935483
2016,11,Bulgaria,123452,5.493333333333334,11.96,-6.466666666666667
2016,11,France,23356,7.4399999999999995,11.96,-4.520000000000001
2016,11,Georgia,173968,4.989999999999999,11.96,-6.9700000000000015
2016,11,Germany,131217,3.9066666666666667,11.96,-8.053333333333335
2016,11,Iran,118246,8.26,11.96,-3.700000000000001
2016,11,Netherlands,22432,6.1066666666666665,11.96,-5.853333333333334
2016,11,Poland,6038,3.4,11.96,-8.56
2016,11,Romania,19350,5.510000000000001,11.96,-6.45
2016,11,Russia,55288,-3.5433333333333334,11.96,-15.503333333333334
2016,11,United Kingdom,34692,6.513333333333334,11.96,-5.446666666666667
2016,12,Bulgaria,131334,-0.47419354838709676,5.351612903225806,-5.825806451612904
2016,12,France,27885,3.5580645161290323,5.351612903225806,-1.793548387096774
2016,12,Georgia,164369,1.0032258064516129,5.351612903225806,-4.348387096774194
2016,12,Germany,128490,2.6258064516129034,5.351612903225806,-2.725806451612903
